Feature,Importance
Age_band_of_driver,0.000466666666666693
Sex_of_driver,-0.00039999999999995595
Educational_level,-0.0009333333333332971
Driving_experience,-0.0023333333333332984
Type_of_vehicle,-0.0009333333333332971
Road_surface_type,0.00013333333333336305
Road_surface_conditions,-6.666666666662601e-05
Light_conditions,-0.003599999999999948
Weather_conditions,0.0003333333333333854
Type_of_collision,-0.00426666666666663
Number_of_vehicles_involved,-0.0016666666666666386
Number_of_casualties,0.0015333333333333865
Vehicle_movement,-0.0002666666666666262
Casualty_class,0.00033333333333337436
Sex_of_casualty,-0.001399999999999968
Age_band_of_casualty,0.00040000000000004474
Casualty_severity,4.4408920985006264e-17
